image_id,healthy,multiple_diseases,rust,scab
Test_618,0.25,0.1,0.11,0.54
Test_619,0.0,0.08,0.92,0.0
Test_620,0.02,0.09,0.89,0.0
Test_621,0.83,0.02,0.03,0.12
Test_622,0.03,0.26,0.69,0.02
Test_623,0.28,0.11,0.04,0.56
Test_624,0.0,0.34,0.66,0.0
Test_625,0.28,0.07,0.03,0.62
Test_626,0.0,0.17,0.83,0.0
Test_627,0.51,0.11,0.08,0.3
Test_628,0.3,0.04,0.01,0.65
Test_629,0.69,0.02,0.04,0.26
Test_630,0.32,0.06,0.06,0.55
Test_631,0.25,0.05,0.02,0.68
Test_632,0.35,0.08,0.04,0.53
Test_633,0.0,0.04,0.96,0.0
Test_634,0.22,0.12,0.05,0.61
Test_635,0.45,0.03,0.02,0.5
Test_636,0.54,0.04,0.05,0.37
Test_637,0.0,0.02,0.98,0.0
Test_638,0.67,0.04,0.1,0.19
Test_639,0.0,0.0,1.0,0.0
Test_640,0.35,0.07,0.07,0.51
Test_641,0.47,0.06,0.46,0.01
Test_642,0.27,0.16,0.08,0.48
Test_643,0.32,0.11,0.06,0.52
Test_644,0.16,0.12,0.04,0.68
Test_645,0.79,0.06,0.06,0.09
Test_646,0.0,0.0,1.0,0.0
Test_647,0.02,0.46,0.49,0.03
Test_648,0.21,0.03,0.01,0.75
Test_649,0.02,0.19,0.78,0.02
Test_650,0.0,0.0,1.0,0.0
Test_651,0.12,0.08,0.03,0.77
Test_652,0.04,0.42,0.51,0.04
Test_653,0.27,0.11,0.04,0.58
Test_654,0.16,0.11,0.71,0.02
Test_655,0.15,0.09,0.06,0.7
Test_656,0.14,0.04,0.01,0.81
Test_657,0.0,0.03,0.97,0.0
Test_658,0.55,0.04,0.04,0.37
Test_659,0.49,0.04,0.04,0.43
Test_660,0.0,0.14,0.86,0.0
Test_661,0.13,0.04,0.02,0.81
Test_662,0.11,0.02,0.01,0.86
Test_663,0.0,0.0,1.0,0.0
Test_664,0.0,0.02,0.98,0.0
Test_665,0.57,0.06,0.13,0.24
Test_666,0.0,0.38,0.62,0.0
Test_667,0.65,0.03,0.13,0.19
Test_668,0.07,0.13,0.78,0.02
Test_669,0.0,0.1,0.9,0.0
Test_670,0.0,0.05,0.95,0.0
Test_671,0.0,0.06,0.94,0.0
Test_672,0.28,0.05,0.02,0.66
Test_673,0.05,0.2,0.73,0.02
Test_674,0.0,0.0,1.0,0.0
Test_675,0.61,0.03,0.11,0.26
Test_676,0.22,0.08,0.03,0.67
Test_677,0.23,0.07,0.03,0.67
Test_678,0.16,0.02,0.0,0.81
Test_679,0.02,0.23,0.73,0.01
Test_680,0.44,0.05,0.04,0.47
Test_681,0.5,0.05,0.03,0.42
Test_682,0.41,0.09,0.04,0.46
Test_683,0.32,0.06,0.03,0.59
Test_684,0.12,0.11,0.03,0.74
Test_685,0.81,0.05,0.04,0.1
Test_686,0.2,0.14,0.05,0.62
Test_687,0.3,0.04,0.03,0.64
Test_688,0.54,0.1,0.07,0.3
Test_689,0.17,0.05,0.02,0.76
Test_690,0.3,0.02,0.01,0.67
Test_691,0.44,0.02,0.03,0.51
Test_692,0.0,0.28,0.72,0.0
Test_693,0.69,0.08,0.09,0.14
Test_694,0.26,0.2,0.08,0.46
Test_695,0.65,0.05,0.03,0.27
Test_696,0.0,0.02,0.98,0.0
Test_697,0.0,0.03,0.97,0.0
Test_698,0.32,0.03,0.01,0.65
Test_699,0.15,0.03,0.01,0.82
Test_700,0.0,0.01,0.98,0.0
Test_701,0.19,0.06,0.03,0.72
Test_702,0.26,0.08,0.03,0.62
Test_703,0.0,0.09,0.91,0.0
Test_704,0.0,0.0,1.0,0.0
Test_705,0.0,0.06,0.94,0.0
Test_706,0.61,0.04,0.09,0.26
Test_707,0.23,0.07,0.04,0.66
Test_708,0.64,0.06,0.05,0.24
Test_709,0.0,0.0,1.0,0.0
Test_710,0.01,0.11,0.88,0.0
Test_711,0.66,0.08,0.15,0.1
Test_712,0.26,0.19,0.08,0.47
Test_713,0.06,0.29,0.56,0.09
Test_714,0.11,0.25,0.24,0.4
Test_715,0.0,0.01,0.99,0.0
Test_716,0.2,0.07,0.02,0.71
Test_717,0.0,0.1,0.9,0.0
Test_718,0.62,0.05,0.08,0.25
Test_719,0.0,0.1,0.9,0.0
Test_720,0.42,0.05,0.03,0.5
Test_721,0.0,0.09,0.91,0.0
Test_722,0.0,0.0,1.0,0.0
Test_723,0.35,0.09,0.03,0.53
Test_724,0.0,0.21,0.78,0.0
Test_725,0.35,0.1,0.04,0.5
Test_726,0.31,0.07,0.02,0.59
Test_727,0.01,0.08,0.91,0.0
Test_728,0.0,0.06,0.94,0.0
Test_729,0.01,0.13,0.85,0.01
Test_730,0.01,0.2,0.79,0.0
Test_731,0.0,0.0,1.0,0.0
Test_732,0.0,0.1,0.9,0.0
Test_733,0.01,0.17,0.81,0.01
Test_734,0.23,0.08,0.03,0.66
Test_735,0.18,0.18,0.61,0.03
Test_736,0.38,0.06,0.03,0.54
Test_737,0.24,0.05,0.03,0.69
Test_738,0.69,0.03,0.11,0.17
Test_739,0.0,0.01,0.99,0.0
Test_740,0.2,0.07,0.03,0.71
Test_741,0.19,0.1,0.05,0.66
Test_742,0.3,0.04,0.02,0.64
Test_743,0.01,0.32,0.66,0.01
Test_744,0.19,0.03,0.01,0.77
Test_745,0.5,0.07,0.1,0.33
Test_746,0.0,0.01,0.99,0.0
Test_747,0.89,0.02,0.02,0.06
Test_748,0.2,0.19,0.21,0.4
Test_749,0.19,0.04,0.02,0.75
Test_750,0.29,0.09,0.05,0.57
Test_751,0.0,0.05,0.95,0.0
Test_752,0.2,0.06,0.02,0.72
Test_753,0.0,0.01,0.99,0.0
Test_754,0.35,0.04,0.05,0.56
Test_755,0.3,0.08,0.07,0.55
Test_756,0.2,0.05,0.02,0.73
Test_757,0.34,0.1,0.04,0.52
Test_758,0.36,0.02,0.01,0.6
Test_759,0.87,0.03,0.08,0.02
Test_760,0.27,0.26,0.27,0.2
Test_761,0.48,0.13,0.06,0.32
Test_762,0.19,0.26,0.46,0.09
Test_763,0.06,0.05,0.87,0.01
Test_764,0.69,0.03,0.25,0.04
Test_765,0.34,0.1,0.04,0.52
Test_766,0.56,0.05,0.04,0.35
Test_767,0.2,0.02,0.01,0.77
Test_768,0.61,0.09,0.16,0.14
Test_769,0.0,0.01,0.99,0.0
Test_770,0.4,0.02,0.01,0.57
Test_771,0.0,0.01,0.99,0.0
Test_772,0.68,0.05,0.11,0.16
Test_773,0.0,0.0,1.0,0.0
Test_774,0.28,0.05,0.03,0.65
Test_775,0.0,0.0,1.0,0.0
Test_776,0.18,0.09,0.07,0.66
Test_777,0.31,0.14,0.06,0.49
Test_778,0.47,0.12,0.08,0.33
Test_779,0.14,0.04,0.01,0.81
Test_780,0.48,0.05,0.03,0.43
Test_781,0.48,0.04,0.06,0.42
Test_782,0.0,0.38,0.61,0.0
Test_783,0.0,0.0,1.0,0.0
Test_784,0.0,0.07,0.92,0.0
Test_785,0.63,0.03,0.1,0.24
Test_786,0.0,0.09,0.91,0.0
Test_787,0.0,0.04,0.96,0.0
Test_788,0.27,0.11,0.04,0.58
Test_789,0.0,0.07,0.93,0.0
Test_790,0.5,0.14,0.16,0.21
Test_791,0.66,0.01,0.03,0.29
Test_792,0.0,0.03,0.97,0.0
Test_793,0.0,0.0,1.0,0.0
Test_794,0.54,0.05,0.07,0.33
Test_795,0.19,0.1,0.04,0.66
Test_796,0.0,0.05,0.95,0.0
Test_797,0.43,0.07,0.1,0.4
Test_798,0.0,0.02,0.98,0.0
Test_799,0.0,0.0,1.0,0.0
Test_800,0.01,0.16,0.83,0.01
Test_801,0.0,0.19,0.8,0.0
Test_802,0.0,0.02,0.98,0.0
Test_803,0.22,0.07,0.02,0.7
Test_804,0.0,0.07,0.93,0.0
Test_805,0.0,0.02,0.98,0.0
Test_806,0.19,0.15,0.07,0.59
Test_807,0.07,0.3,0.57,0.07
Test_808,0.4,0.14,0.08,0.38
Test_809,0.24,0.11,0.05,0.6
Test_810,0.0,0.08,0.92,0.0
Test_811,0.69,0.03,0.06,0.22
Test_812,0.0,0.14,0.86,0.0
Test_813,0.78,0.03,0.1,0.09
Test_814,0.12,0.04,0.01,0.82
Test_815,0.27,0.09,0.03,0.61
Test_816,0.06,0.24,0.59,0.11
Test_817,0.0,0.0,1.0,0.0
Test_818,0.32,0.02,0.01,0.64
Test_819,0.05,0.22,0.56,0.17
Test_820,0.19,0.05,0.02,0.75
Test_821,0.11,0.05,0.02,0.83
Test_822,0.3,0.1,0.06,0.54
Test_823,0.18,0.04,0.01,0.76
Test_824,0.61,0.06,0.13,0.2
Test_825,0.0,0.01,0.99,0.0
Test_826,0.0,0.03,0.97,0.0
Test_827,0.28,0.19,0.39,0.14
Test_828,0.0,0.03,0.97,0.0
Test_829,0.36,0.08,0.1,0.46
Test_830,0.01,0.17,0.81,0.0
Test_831,0.0,0.06,0.94,0.0
Test_832,0.47,0.05,0.05,0.43
Test_833,0.01,0.22,0.76,0.0
Test_834,0.03,0.19,0.76,0.01
Test_835,0.0,0.05,0.95,0.0
Test_836,0.33,0.13,0.06,0.48
Test_837,0.34,0.09,0.09,0.48
Test_838,0.38,0.06,0.05,0.51
Test_839,0.0,0.3,0.69,0.0
Test_840,0.0,0.02,0.98,0.0
Test_841,0.17,0.1,0.05,0.69
Test_842,0.15,0.04,0.01,0.8
Test_843,0.0,0.01,0.99,0.0
Test_844,0.53,0.11,0.22,0.14
Test_845,0.01,0.29,0.7,0.01
Test_846,0.54,0.04,0.02,0.4
Test_847,0.01,0.14,0.85,0.0
Test_848,0.01,0.03,0.96,0.0
Test_849,0.21,0.06,0.02,0.71
Test_850,0.0,0.04,0.96,0.0
Test_851,0.45,0.02,0.02,0.51
Test_852,0.0,0.11,0.89,0.0
Test_853,0.01,0.24,0.75,0.0
Test_854,0.19,0.04,0.01,0.75
Test_855,0.21,0.11,0.04,0.63
Test_856,0.3,0.15,0.09,0.46
Test_857,0.0,0.07,0.93,0.0
Test_858,0.0,0.03,0.97,0.0
Test_859,0.12,0.09,0.05,0.74
Test_860,0.43,0.05,0.05,0.47
Test_861,0.0,0.11,0.89,0.0
Test_862,0.0,0.09,0.91,0.0
Test_863,0.19,0.16,0.07,0.57
Test_864,0.0,0.03,0.97,0.0
Test_865,0.0,0.14,0.86,0.0
Test_866,0.0,0.06,0.94,0.0
Test_867,0.24,0.13,0.17,0.47
Test_868,0.01,0.24,0.74,0.01
Test_869,0.56,0.07,0.04,0.33
Test_870,0.57,0.08,0.14,0.2
Test_871,0.21,0.03,0.01,0.75
Test_872,0.12,0.35,0.23,0.31
Test_873,0.31,0.09,0.04,0.56
Test_874,0.28,0.14,0.06,0.51
Test_875,0.26,0.1,0.04,0.59
Test_876,0.26,0.03,0.01,0.7
Test_877,0.19,0.12,0.05,0.64
Test_878,0.42,0.05,0.06,0.47
Test_879,0.21,0.17,0.59,0.03
Test_880,0.0,0.0,1.0,0.0
Test_881,0.0,0.0,1.0,0.0
Test_882,0.0,0.07,0.93,0.0
Test_883,0.16,0.11,0.09,0.64
Test_884,0.39,0.13,0.09,0.39
Test_885,0.27,0.13,0.53,0.07
Test_886,0.78,0.01,0.19,0.02
Test_887,0.46,0.11,0.37,0.06
Test_888,0.0,0.06,0.94,0.0
Test_889,0.0,0.01,0.99,0.0
Test_890,0.01,0.17,0.81,0.01
Test_891,0.35,0.04,0.04,0.57
Test_892,0.0,0.09,0.91,0.0
Test_893,0.27,0.17,0.42,0.14
Test_894,0.34,0.06,0.06,0.54
Test_895,0.89,0.02,0.03,0.07
Test_896,0.66,0.05,0.03,0.26
Test_897,0.68,0.07,0.2,0.06
Test_898,0.36,0.03,0.02,0.59
Test_899,0.0,0.09,0.91,0.0
Test_900,0.18,0.06,0.02,0.74
Test_901,0.0,0.0,1.0,0.0
Test_902,0.43,0.06,0.03,0.48
Test_903,0.0,0.0,1.0,0.0
Test_904,0.19,0.03,0.01,0.78
Test_905,0.0,0.0,1.0,0.0
Test_906,0.0,0.05,0.95,0.0
Test_907,0.17,0.1,0.08,0.65
Test_908,0.14,0.04,0.01,0.81
Test_909,0.58,0.05,0.09,0.27
Test_910,0.0,0.07,0.93,0.0
Test_911,0.2,0.07,0.03,0.7
Test_912,0.0,0.04,0.96,0.0
Test_913,0.0,0.13,0.87,0.0
Test_914,0.13,0.04,0.01,0.82
Test_915,0.0,0.02,0.98,0.0
Test_916,0.21,0.16,0.12,0.51
Test_917,0.0,0.07,0.93,0.0
Test_918,0.0,0.18,0.82,0.0
Test_919,0.15,0.11,0.04,0.7
Test_920,0.0,0.17,0.83,0.0
Test_921,0.29,0.18,0.08,0.45
Test_922,0.35,0.06,0.07,0.52
Test_923,0.04,0.33,0.55,0.08
Test_924,0.39,0.04,0.02,0.55
Test_925,0.43,0.07,0.03,0.47
Test_926,0.0,0.01,0.99,0.0
Test_927,0.34,0.06,0.03,0.57
Test_928,0.0,0.01,0.99,0.0
Test_929,0.24,0.09,0.04,0.64
Test_930,0.59,0.14,0.14,0.13
Test_931,0.48,0.08,0.05,0.39
Test_932,0.14,0.23,0.19,0.44
Test_933,0.26,0.08,0.03,0.62
Test_934,0.01,0.09,0.88,0.01
Test_935,0.0,0.0,1.0,0.0
Test_936,0.19,0.03,0.01,0.76
Test_937,0.57,0.06,0.3,0.06
Test_938,0.32,0.07,0.03,0.58
Test_939,0.46,0.08,0.04,0.43
Test_940,0.27,0.07,0.03,0.63
Test_941,0.22,0.04,0.02,0.71
Test_942,0.26,0.15,0.06,0.52
Test_943,0.0,0.0,1.0,0.0
Test_944,0.11,0.08,0.76,0.06
Test_945,0.52,0.07,0.15,0.26
Test_946,0.0,0.25,0.74,0.0
Test_947,0.23,0.04,0.01,0.72
Test_948,0.36,0.14,0.07,0.43
Test_949,0.32,0.14,0.06,0.49
Test_950,0.25,0.09,0.05,0.61
Test_951,0.0,0.07,0.93,0.0
Test_952,0.34,0.09,0.04,0.53
Test_953,0.08,0.05,0.02,0.86
Test_954,0.52,0.03,0.04,0.41
Test_955,0.31,0.03,0.01,0.65
Test_956,0.27,0.05,0.03,0.65
Test_957,0.79,0.06,0.06,0.09
Test_958,0.24,0.1,0.44,0.22
Test_959,0.0,0.01,0.99,0.0
Test_960,0.0,0.04,0.96,0.0
Test_961,0.51,0.08,0.04,0.36
Test_962,0.17,0.16,0.6,0.07
Test_963,0.55,0.06,0.04,0.35
Test_964,0.0,0.0,1.0,0.0
Test_965,0.66,0.07,0.04,0.23
Test_966,0.0,0.03,0.97,0.0
Test_967,0.05,0.28,0.63,0.04
Test_968,0.0,0.01,0.99,0.0
Test_969,0.0,0.11,0.89,0.0
Test_970,0.64,0.06,0.03,0.27
Test_971,0.14,0.03,0.01,0.82
Test_972,0.0,0.02,0.98,0.0
Test_973,0.0,0.0,1.0,0.0
Test_974,0.21,0.04,0.01,0.74
Test_975,0.39,0.09,0.49,0.03
Test_976,0.0,0.03,0.97,0.0
Test_977,0.54,0.07,0.04,0.36
Test_978,0.0,0.1,0.9,0.0
Test_979,0.86,0.02,0.05,0.07
Test_980,0.27,0.22,0.33,0.18
Test_981,0.21,0.03,0.01,0.74
Test_982,0.14,0.03,0.01,0.83
Test_983,0.0,0.0,1.0,0.0
Test_984,0.18,0.08,0.03,0.71
Test_985,0.37,0.09,0.06,0.49
Test_986,0.24,0.1,0.04,0.62
Test_987,0.07,0.34,0.54,0.06
Test_988,0.38,0.05,0.03,0.54
Test_989,0.76,0.02,0.18,0.04
Test_990,0.2,0.18,0.23,0.39
Test_991,0.0,0.04,0.96,0.0
Test_992,0.66,0.08,0.06,0.19
Test_993,0.69,0.02,0.04,0.26
Test_994,0.11,0.22,0.15,0.52
Test_995,0.07,0.32,0.52,0.09
Test_996,0.01,0.16,0.83,0.0
Test_997,0.42,0.08,0.13,0.37
Test_998,0.0,0.07,0.93,0.0
Test_999,0.0,0.21,0.78,0.0
Test_1000,0.0,0.03,0.97,0.0
Test_1001,0.8,0.03,0.03,0.13
Test_1002,0.0,0.04,0.96,0.0
Test_1003,0.14,0.16,0.12,0.58
Test_1004,0.17,0.05,0.02,0.76
Test_1005,0.25,0.08,0.03,0.64
Test_1006,0.0,0.0,1.0,0.0
Test_1007,0.29,0.16,0.07,0.49
Test_1008,0.34,0.04,0.02,0.6
Test_1009,0.0,0.04,0.96,0.0
Test_1010,0.0,0.06,0.94,0.0
Test_1011,0.0,0.0,1.0,0.0
Test_1012,0.26,0.03,0.02,0.68
Test_1013,0.0,0.04,0.96,0.0
Test_1014,0.01,0.27,0.72,0.0
Test_1015,0.33,0.1,0.04,0.53
Test_1016,0.4,0.11,0.44,0.04
Test_1017,0.02,0.17,0.81,0.0
Test_1018,0.16,0.11,0.05,0.67
Test_1019,0.0,0.0,1.0,0.0
Test_1020,0.0,0.01,0.99,0.0
Test_1021,0.27,0.22,0.34,0.17
Test_1022,0.0,0.22,0.78,0.0
Test_1023,0.63,0.06,0.04,0.26
Test_1024,0.23,0.08,0.03,0.67
Test_1025,0.22,0.07,0.02,0.68
Test_1026,0.31,0.21,0.13,0.35
Test_1027,0.14,0.05,0.01,0.8
Test_1028,0.23,0.1,0.05,0.61
Test_1029,0.4,0.12,0.05,0.43
Test_1030,0.32,0.08,0.04,0.57
Test_1031,0.12,0.03,0.01,0.83
Test_1032,0.49,0.1,0.05,0.35
Test_1033,0.0,0.07,0.93,0.0
Test_1034,0.0,0.02,0.98,0.0
Test_1035,0.03,0.11,0.86,0.0
Test_1036,0.38,0.08,0.03,0.52
Test_1037,0.13,0.14,0.7,0.03
Test_1038,0.2,0.09,0.03,0.69
Test_1039,0.22,0.05,0.02,0.72
Test_1040,0.18,0.06,0.02,0.74
Test_1041,0.0,0.08,0.92,0.0
Test_1042,0.08,0.2,0.7,0.02
Test_1043,0.02,0.24,0.73,0.01
Test_1044,0.63,0.11,0.06,0.2
Test_1045,0.0,0.01,0.99,0.0
Test_1046,0.46,0.03,0.01,0.5
Test_1047,0.82,0.03,0.07,0.08
Test_1048,0.15,0.04,0.02,0.79
Test_1049,0.67,0.01,0.02,0.3
Test_1050,0.0,0.09,0.91,0.0
Test_1051,0.52,0.1,0.05,0.33
Test_1052,0.51,0.15,0.15,0.19
Test_1053,0.0,0.01,0.99,0.0
Test_1054,0.28,0.08,0.04,0.6
Test_1055,0.33,0.18,0.19,0.3
Test_1056,0.0,0.02,0.98,0.0
Test_1057,0.31,0.1,0.03,0.55
Test_1058,0.45,0.08,0.11,0.36
Test_1059,0.65,0.04,0.02,0.29
Test_1060,0.46,0.08,0.05,0.41
Test_1061,0.38,0.06,0.02,0.55
Test_1062,0.61,0.03,0.04,0.32
Test_1063,0.0,0.01,0.99,0.0
Test_1064,0.51,0.07,0.05,0.37
Test_1065,0.66,0.01,0.02,0.31
Test_1066,0.14,0.08,0.03,0.75
Test_1067,0.46,0.14,0.35,0.06
Test_1068,0.32,0.1,0.39,0.19
Test_1069,0.29,0.1,0.15,0.47
Test_1070,0.63,0.09,0.08,0.21
Test_1071,0.0,0.02,0.98,0.0
Test_1072,0.82,0.04,0.09,0.05
Test_1073,0.6,0.02,0.02,0.35
Test_1074,0.13,0.04,0.82,0.02
Test_1075,0.0,0.02,0.98,0.0
Test_1076,0.51,0.1,0.06,0.33
Test_1077,0.38,0.07,0.03,0.52
Test_1078,0.0,0.05,0.95,0.0
Test_1079,0.0,0.06,0.94,0.0
Test_1080,0.37,0.19,0.14,0.31
Test_1081,0.0,0.01,0.99,0.0
Test_1082,0.17,0.03,0.01,0.79
Test_1083,0.33,0.13,0.08,0.46
Test_1084,0.0,0.3,0.69,0.01
Test_1085,0.49,0.03,0.02,0.46
Test_1086,0.0,0.13,0.87,0.0
Test_1087,0.23,0.07,0.04,0.67
Test_1088,0.0,0.18,0.82,0.0
Test_1089,0.37,0.13,0.06,0.43
Test_1090,0.18,0.07,0.04,0.71
Test_1091,0.34,0.08,0.03,0.56
Test_1092,0.46,0.09,0.04,0.4
Test_1093,0.22,0.09,0.03,0.66
Test_1094,0.57,0.04,0.08,0.3
Test_1095,0.17,0.13,0.07,0.63
Test_1096,0.28,0.03,0.01,0.67
Test_1097,0.26,0.11,0.05,0.58
Test_1098,0.51,0.08,0.04,0.36
Test_1099,0.21,0.05,0.03,0.72
Test_1100,0.04,0.18,0.76,0.01
Test_1101,0.28,0.06,0.02,0.64
Test_1102,0.0,0.06,0.94,0.0
Test_1103,0.23,0.03,0.01,0.73
Test_1104,0.31,0.09,0.04,0.57
Test_1105,0.16,0.04,0.02,0.79
Test_1106,0.54,0.05,0.08,0.33
Test_1107,0.0,0.0,1.0,0.0
Test_1108,0.37,0.04,0.05,0.53
Test_1109,0.39,0.06,0.02,0.53
Test_1110,0.0,0.0,1.0,0.0
Test_1111,0.0,0.01,0.99,0.0
Test_1112,0.24,0.11,0.05,0.6
Test_1113,0.02,0.14,0.83,0.01
Test_1114,0.0,0.05,0.95,0.0
Test_1115,0.0,0.0,1.0,0.0
Test_1116,0.0,0.0,1.0,0.0
Test_1117,0.32,0.15,0.08,0.44
Test_1118,0.0,0.01,0.99,0.0
Test_1119,0.28,0.13,0.05,0.54
Test_1120,0.0,0.03,0.97,0.0
Test_1121,0.0,0.04,0.96,0.0
Test_1122,0.24,0.08,0.04,0.64
Test_1123,0.29,0.05,0.02,0.65
Test_1124,0.0,0.02,0.98,0.0
Test_1125,0.16,0.18,0.54,0.12
Test_1126,0.2,0.06,0.03,0.71
Test_1127,0.33,0.1,0.04,0.53
Test_1128,0.02,0.03,0.95,0.0
Test_1129,0.0,0.0,1.0,0.0
Test_1130,0.21,0.09,0.03,0.67
Test_1131,0.32,0.1,0.05,0.53
Test_1132,0.32,0.08,0.06,0.54
Test_1133,0.75,0.05,0.04,0.16
Test_1134,0.0,0.07,0.93,0.0
Test_1135,0.33,0.09,0.05,0.53
Test_1136,0.33,0.08,0.03,0.57
Test_1137,0.53,0.11,0.06,0.3
Test_1138,0.3,0.09,0.06,0.56
Test_1139,0.01,0.1,0.88,0.01
Test_1140,0.79,0.03,0.16,0.02
Test_1141,0.13,0.05,0.02,0.81
Test_1142,0.0,0.17,0.83,0.0
Test_1143,0.1,0.38,0.44,0.09
Test_1144,0.0,0.04,0.96,0.0
Test_1145,0.27,0.05,0.02,0.66
Test_1146,0.0,0.0,1.0,0.0
Test_1147,0.35,0.06,0.04,0.55
Test_1148,0.0,0.0,1.0,0.0
Test_1149,0.66,0.09,0.19,0.06
Test_1150,0.3,0.12,0.19,0.39
Test_1151,0.37,0.06,0.03,0.54
Test_1152,0.27,0.14,0.05,0.53
Test_1153,0.16,0.04,0.02,0.78
Test_1154,0.0,0.01,0.99,0.0
Test_1155,0.0,0.02,0.98,0.0
Test_1156,0.61,0.03,0.12,0.24
Test_1157,0.17,0.07,0.02,0.74
Test_1158,0.73,0.07,0.08,0.13
Test_1159,0.0,0.11,0.89,0.0
Test_1160,0.43,0.05,0.07,0.45
Test_1161,0.0,0.12,0.88,0.0
Test_1162,0.28,0.11,0.05,0.57
Test_1163,0.8,0.04,0.05,0.11
Test_1164,0.0,0.02,0.98,0.0
Test_1165,0.0,0.0,1.0,0.0
Test_1166,0.25,0.06,0.02,0.68
Test_1167,0.0,0.03,0.97,0.0
Test_1168,0.0,0.01,0.99,0.0
Test_1169,0.31,0.12,0.05,0.52
Test_1170,0.28,0.19,0.25,0.28
Test_1171,0.3,0.07,0.02,0.6
Test_1172,0.81,0.01,0.02,0.16
Test_1173,0.51,0.04,0.04,0.41
Test_1174,0.17,0.09,0.03,0.72
Test_1175,0.0,0.02,0.98,0.0
Test_1176,0.43,0.02,0.02,0.53
Test_1177,0.18,0.05,0.01,0.75
Test_1178,0.7,0.07,0.07,0.16
Test_1179,0.0,0.04,0.96,0.0
Test_1180,0.27,0.14,0.07,0.53
Test_1181,0.0,0.1,0.9,0.0
Test_1182,0.14,0.03,0.01,0.82
Test_1183,0.57,0.06,0.07,0.3
Test_1184,0.0,0.1,0.89,0.0
Test_1185,0.0,0.01,0.99,0.0
Test_1186,0.0,0.01,0.99,0.0
Test_1187,0.18,0.06,0.02,0.74
Test_1188,0.36,0.09,0.04,0.51
Test_1189,0.25,0.14,0.44,0.16
Test_1190,0.0,0.09,0.91,0.0
Test_1191,0.35,0.04,0.02,0.59
Test_1192,0.0,0.01,0.99,0.0
Test_1193,0.01,0.13,0.85,0.01
Test_1194,0.41,0.1,0.05,0.44
Test_1195,0.21,0.04,0.02,0.74
Test_1196,0.09,0.17,0.17,0.57
Test_1197,0.33,0.06,0.02,0.6
Test_1198,0.0,0.12,0.88,0.0
Test_1199,0.0,0.01,0.99,0.0
Test_1200,0.58,0.03,0.38,0.01
Test_1201,0.15,0.06,0.03,0.77
Test_1202,0.27,0.14,0.29,0.3
Test_1203,0.5,0.08,0.04,0.38
Test_1204,0.0,0.16,0.84,0.0
Test_1205,0.0,0.06,0.94,0.0
Test_1206,0.01,0.31,0.67,0.01
Test_1207,0.64,0.07,0.06,0.23
Test_1208,0.2,0.12,0.04,0.65
Test_1209,0.0,0.03,0.97,0.0
Test_1210,0.15,0.03,0.01,0.81
Test_1211,0.37,0.09,0.04,0.5
Test_1212,0.2,0.05,0.02,0.73
Test_1213,0.17,0.07,0.03,0.72
Test_1214,0.24,0.09,0.03,0.64
Test_1215,0.18,0.03,0.01,0.78
Test_1216,0.0,0.04,0.96,0.0
Test_1217,0.05,0.14,0.77,0.05
Test_1218,0.2,0.07,0.03,0.7
Test_1219,0.0,0.13,0.86,0.0
Test_1220,0.18,0.1,0.03,0.69
Test_1221,0.26,0.14,0.05,0.55
Test_1222,0.0,0.0,1.0,0.0
Test_1223,0.19,0.03,0.01,0.76
Test_1224,0.0,0.0,1.0,0.0
